1	3	1.5
2	5	1.667
3	8	1.6
4	10	1.667
5	13	1.625
6	13	1.625
7	15	1.667
8	16	1.778
9	19	1.727
10	23	1.643
11	23	1.643
12	24	1.714
13	24	1.714
14	28	1.647
15	30	1.667
16	32	1.684
17	36	1.636
18	37	1.682
19	40	1.667
20	44	1.63
21	48	1.6
22	51	1.594
23	52	1.625
24	53	1.656
25	55	1.667
26	59	1.639
27	59	1.639
28	62	1.632
29	63	1.658
30	63	1.658
31	64	1.684
32	66	1.692
33	67	1.718
34	67	1.718
35	69	1.725
36	69	1.725
37	70	1.75
38	72	1.756
39	74	1.762
40	77	1.75
41	80	1.739
42	82	1.745
43	85	1.735
44	88	1.725
45	92	1.704
46	95	1.696
47	97	1.702
48	97	1.702
49	98	1.719
50	99	1.737
51	101	1.741
52	102	1.759
53	104	1.763
54	106	1.767
55	108	1.77
56	109	1.787
57	112	1.778
58	112	1.778
59	114	1.781
60	118	1.761
61	119	1.776
62	122	1.768
63	125	1.761
64	126	1.775
65	126	1.775
66	129	1.767
67	129	1.767
68	131	1.77
69	135	1.753
70	138	1.747
71	138	1.747
72	139	1.759
73	140	1.772
74	140	1.772
75	142	1.775
76	145	1.768
77	146	1.78
78	148	1.783
79	152	1.767
80	155	1.761
81	157	1.764
82	157	1.764
83	160	1.758
84	163	1.753
85	166	1.747
86	169	1.742
87	173	1.73
88	173	1.73
89	176	1.725
90	180	1.714
91	180	1.714
92	183	1.71
93	183	1.71
94	187	1.7
95	189	1.703
96	192	1.699
97	195	1.696
98	198	1.692
99	200	1.695
100	202	1.697
101	204	1.7
102	204	1.7
103	204	1.7
104	208	1.691
105	208	1.691
106	211	1.688
107	215	1.68
108	219	1.672
109	221	1.674
110	222	1.682
111	222	1.682
112	224	1.684
113	225	1.692
114	226	1.699
115	229	1.696
116	229	1.696
117	233	1.688
118	234	1.696
119	236	1.698
120	239	1.695
121	242	1.692
122	246	1.685
123	246	1.685
124	248	1.687
125	248	1.687
126	252	1.68
127	256	1.673
128	259	1.671
129	261	1.673
130	261	1.673
